//
// x0 values  from MATLAB
//
@00000000 111101011110_1001
@000007f7 110101110000_0000
@000007f8 010101111111_0011
@000007f9 000000001000_0000
@000007fa 101110011101_0110
@000007fb 111001001010_1100
@000007fc 000000110100_0111
@000007fd 111100110001_1101
@000007fe 111111111000_0000
@000007ff 001010110111_0011
@00000800 111110100101_1101
@00000801 000000001000_0000
@00000802 000010001001_1111
@00000803 111100101110_0101
@00000804 101111100010_1101
@00000805 000011110001_1011
@00000806 000000001000_0000
@00000807 111101000110_1110
@00000808 111111111001_1010
@00000809 000000001000_0000
@0000080a 110110110101_0001
@0000080b 111111001000_0111
@0000080c 000110011010_0111
@0000080d 111010111100_1011
@0000080e 110110011101_1111
@0000080f 000000001000_0000
@00000810 110111110000_1010
@00000811 111000100011_0111
@00000812 110110100101_1100
@00000813 110111111100_1110
@00000814 101101111101_0000
@00000815 000000001001_0101
@00000816 001000001110_0011
@00000817 001000011100_0100
@00000818 111100110111_1000
@00000819 111000101100_0010
@0000081a 111000011101_0001
@0000081b 110000010100_1111
@0000081c 001110111110_1001
@0000081d 111001000000_1101
@0000081e 111111111000_0000
@0000081f 111100010011_1111
@00000820 111111111000_0000
@00000821 111110010100_1001
@00000822 000000001000_0000
@00000823 111011110100_1001
@00000824 110100001111_0011
@00000825 000000001000_0000
@00000826 001101101010_1110
@00000827 000011100000_0001
@00000828 101001010100_1101
@00000829 000110000000_1101
@0000082a 001010100000_1101
@0000082b 111111111000_0000
@0000082c 000000010011_0111
@0000082d 000101011000_1110
@0000082e 000000100110_1000
@0000082f 001001001101_0100
@00000830 101000101110_1111
@00000831 111111111101_1000
@00000832 111111111111_0011
@00000833 010001001111_1100
@00000834 111111111000_0000
@00000835 110011001111_1001
@00000836 110111010010_0000
@00000837 111101001110_0111
@00000838 110100100100_0101
@00000839 111111011100_0000
@0000083a 111010011011_1101
@0000083b 111110011000_0010
@0000083c 111010001011_0010
@0000083d 000000001000_0000
@0000083e 000111011100_0110
@0000083f 001010010100_1010
@00000840 111111111111_0100
@00000841 000000001000_0000
@00000842 111110110011_1111
@00000843 110110101101_1010
@00000844 000001011011_0110
@00000845 000000111101_1011
@00000846 001111010000_0000
@00000847 111100010101_0001
@00000848 000111000110_0100
@00000849 111110011010_0111
@0000084a 000000001000_0000
@0000084b 111111110110_1101
@0000084c 110101110111_0100
@0000084d 001001010101_0111
@0000084e 111111111000_0000
@0000084f 111010110011_0011
@00000850 111111100111_0111
@00000851 110011100000_1100
@00000852 000000001000_0000
@00000853 001000011011_0001
@00000854 000000001000_0000
@00000855 000000001000_0000
@00000856 000010110110_1101
@00000857 000000110010_0100
@00000858 111111111000_0000
@00000859 001011111111_0111
@0000085a 000101110100_0000
@0000085b 111111111000_0000
@0000085c 111110111010_1110
@0000085d 111101011100_0100
@0000085e 111111111000_0000
@0000085f 000000001000_0000
@00000860 111001110010_1000
@00000861 000000000011_1011
@00000862 101001011101_0001
@00000863 111110001100_1110
@00000864 001110100111_1001
@00000865 000000001000_0000
@00000866 111111111000_0000
@00000867 111100001000_1000
@00000868 111011101111_0110
@00000869 111111111000_0000
@0000086a 000001010000_0001
@0000086b 000000110010_0100
@0000086c 000100001000_1111
@0000086d 111111111000_0000
@0000086e 001011000110_1111
@0000086f 000100100100_0111
@00000870 101101110001_0011
@00000871 000101100100_1111
@00000872 001011011010_1110
@00000873 111111111000_0000
@00000874 010000100001_1000
@00000875 111000110110_1110
@00000876 000001010101_0101
@00000877 000000001100_1101
@00000878 111111111000_0000
@00000879 001011011011_1101
@0000087a 000000011111_0110
@0000087b 111111010110_0000
@0000087c 001011001011_1111
@0000087d 111001000110_0101
@0000087e 111111111000_0000
@0000087f 000001101110_1001
@00000880 000000001000_0000
@00000881 111011001111_1001
@00000882 111011001100_0101
@00000883 000000001000_0000
@00000884 000000001000_0000
@00000885 111000001000_1001
@00000886 111111110011_0110
@00000887 000000001010_1111
@00000888 110111011000_1010
@00000889 111111111001_0010
@0000088a 111111111000_0000
@0000088b 111111010001_1000
@0000088c 111000011000_1001
@0000088d 000011010111_1111
@0000088e 000100010110_0000
@0000088f 110000011100_0101
@00000890 000000001000_0000
@00000891 000101000000_1010
@00000892 110010101010_1001
@00000893 111111111000_0000
@00000894 000000001000_0000
@00000895 111001011101_0011
@00000896 010000111010_0100
@00000897 000000001000_0000
@00000898 110001100010_0010
@00000899 111111111000_0000
@0000089a 111111111100_0011
@0000089b 111000100000_1110
@0000089c 000000001000_0000
@0000089d 111011110010_0011
@0000089e 001000100111_0110
@0000089f 000100111000_0000
@000008a0 111111111000_0000
@000008a1 110000000110_1001
@000008a2 000000000111_0111
@000008a3 111010011100_0001
@000008a4 000000001000_0000
@000008a5 000000001000_0000
@000008a6 111111001001_0011
@000008a7 111101110100_1110
@000008a8 000000001000_0000
@000008a9 001001001001_1011
@000008aa 111111111010_0110
@000008ab 111111001110_1101
@000008ac 000101101000_1101
@000008ad 000000001000_0000
@000008ae 111010001000_0101
@000008af 000000001000_0000
@000008b0 111001100111_0110
@000008b1 001001000011_0000
@000008b2 111010010100_0110
@000008b3 000110000000_1101
@000008b4 111111111000_0000
@000008b5 000000110000_0110
@000008b6 111111001101_0001
@000008b7 101111011100_0101
@000008b8 000000001000_0000
@000008b9 101000011111_1101
@000008ba 000000001000_0000
@000008bb 000110111101_0100
@000008bc 111111011101_0000
@000008bd 110101110111_0011
@000008be 001100100011_1110
@000008bf 111010010011_1100
@000008c0 000000001000_0000
@000008c1 001011000011_1000
@000008c2 111111111000_0000
@000008c3 000000001000_0000
@000008c4 111010011010_1110
@000008c5 001110010101_0100
@000008c6 000000001000_0001
@000008c7 111111111000_0000
@000008c8 000000001000_0000
@000008c9 001110110110_1110
@000008ca 111111111101_0110
@000008cb 000111001010_0110
@000008cc 010101110000_1110
@000008cd 000000001000_0000
@000008ce 111110000011_0101
@000008cf 111111111000_0000
@000008d0 010100111000_0000
@000008d1 000000000111_0000
@000008d2 111111111000_0000
@000008d3 000000000001_0100
@000008d4 000010000000_0101
@000008d5 101110110111_0110
@000008d6 001000000100_1110
@000008d7 000000001000_0000
@000008d8 000000101111_1001
@000008d9 111111111000_0000
@000008da 000001110000_0001
@000008db 000001011110_1000
@000008dc 111111110010_1111
@000008dd 111111111000_0000
@000008de 110011000100_1110
@000008df 000000001000_0000
@000008e0 101100011000_1010
@000008e1 000000001000_0000
@000008e2 111111111000_0000
@000008e3 001101011111_0110
@000008e4 111111110110_0100
@000008e5 000110001010_1100
@000008e6 111100110001_0110
@000008e7 111111111000_0000
@000008e8 101110100001_1101
@000008e9 000010000110_0100
@000008ea 101111001011_1111
@000008eb 000100110010_0100
@000008ec 111111111000_0000
@000008ed 101011101010_1010
@000008ee 001011101100_1010
@000008ef 111110101101_1111
@000008f0 000001110101_0101
@000008f1 111111111101_1011
@000008f2 111101100010_1011
@000008f3 111100111100_1110
@000008f4 111111111000_0000
@000008f5 111001100110_0011
@000008f6 110100100001_0010
@000008f7 010000011011_1111
@000008f8 110111011101_1011
@000008f9 001110000111_0110
@000008fa 001000101101_1111
@000008fb 000010100111_0000
@000008fc 111110000000_0000
@000008fd 000000111010_0001
@000008fe 110011000010_1010
@000008ff 111111111000_0000
@00000900 101111000100_1011
@00000901 111111010001_1000
@00000902 111111111000_0000
@00000903 111001101110_1011
@00000904 111011000110_0101
@00000905 001001101101_0110
@00000906 000011101000_0100
@00000907 010000100011_0001
@00000908 000000001000_0000
@00000909 000100011101_0001
@0000090a 110100100001_1110
@0000090b 111111111000_0000
@0000090c 000011000011_0001
@0000090d 001011111000_0101
@0000090e 000000110110_1110
@0000090f 000000001000_0000
@00000910 111111111000_0000
@00000911 110000100100_1111
@00000912 001000110101_1100
@00000913 000000000001_0110
@00000914 111111111000_0000
@00000915 111000111011_0011
@00000916 000110000011_1010
@00000917 111111111000_0000
@00000918 000000001000_0000
@00000919 000011110000_1011
@0000091a 000001100001_0010
@0000091b 001101001001_1001
@0000091c 001100100100_0011
@0000091d 001000010101_0001
@0000091e 111101001110_0101
@0000091f 000101101110_1111
@00000920 111111111000_0000
@00000921 000101001001_1011
@00000922 110000101111_0100
@00000923 000010010011_1000
@00000924 001010101011_1101
@00000925 111111111000_0000
@00000926 000000001000_0000
@00000927 000000001000_0000
@00000928 000110000111_0010
@00000929 001001000101_0100
@0000092a 000000001000_0000
@0000092b 110110000001_1001
@0000092c 110000110101_1001
@0000092d 111111111100_0110
@0000092e 111111111000_0000
@0000092f 111010100001_1001
@00000930 111100001010_1000
@00000931 110001010110_1100
@00000932 000000001000_0000
@00000933 111011111001_1011
@00000934 111110001101_1110
@00000935 111111111000_0000
@00000936 000111001101_1011
@00000937 111111111000_0000
@00000938 101110110100_0110
@00000939 000100001110_0111
@0000093a 000010111101_1011
@0000093b 001001010110_0100
@0000093c 000001001110_0100
@0000093d 111111111000_0000
@0000093e 000000001000_0000
@0000093f 101111010110_0010
@00000940 111110101010_1110
@00000941 111101111011_1111
@00000942 000010011001_0100
@00000943 111111111110_0000
@00000944 111010110100_0010
@00000945 110111010111_0100
@00000946 111100110110_1000
@00000947 111011111010_0001
@00000948 000000001000_0000
@00000949 000100000000_1111
@0000094a 111111000111_1111
@0000094b 000101111001_1011
@0000094c 001100100011_0001
@0000094d 000000000000_1011
@0000094e 000001010110_0001
@0000094f 000000001000_0000
@00000950 111111111000_0000
@00000951 111100100010_1101
@00000952 111111111100_1001
@00000953 111101101110_0010
@00000954 111111111000_0000
@00000955 000000001000_0000
@00000956 000000110001_1001
@00000957 000000001000_0000
@00000958 000001111100_0110
@00000959 111001100101_0000
@0000095a 010010001000_1110
@0000095b 010000111000_0000
@0000095c 000000001000_0000
@0000095d 001010101011_0010
@0000095e 000110001011_1100
@0000095f 111111011100_0101
@00000960 000000100101_1010
@00000961 001001111101_0000
@00000962 111111100010_0100
@00000963 111011000000_1100
@00000964 000000001000_0000
@00000965 111111111000_0000
@00000966 000001100001_1010
@00000967 001110001000_0110
@00000968 001101001101_0001
@00000969 111111010110_0001
@0000096a 111111111000_0000
@0000096b 000000001011_1110
@0000096c 111101010111_0101
@0000096d 000000001000_0000
@0000096e 110010101111_1110
@0000096f 111111111000_0000
@00000970 001111000000_1111
@00000971 000111111001_1010
@00000972 111111111000_0000
@00000973 000000001100_1110
@00000974 101111111010_1110
@00000975 111111111000_0000
@00000976 110101110011_1110
@00000977 000110110000_0000
@00000978 110000110100_1110
@00000979 101111010100_0110
@0000097a 111011011010_1101
@0000097b 111111110111_1111
@0000097c 001011010001_1101
@0000097d 111000001101_1000
@0000097e 000110110100_1000
@0000097f 101100100111_0011
@00000980 000000000010_0111
@00000981 000110111000_1110
@00000982 111111111000_0000
@00000983 000000010100_1011
@00000984 010010101111_1101
@00000985 001111011000_0001
@00000986 000010110010_0111
@00000987 110110000011_1010
@00000988 110001010110_0011
@00000989 111101111111_1011
@0000098a 111000000111_1000
@0000098b 000000000011_0100
@0000098c 000111010101_1000
@0000098d 111111111000_0000
@0000098e 000000001000_0000
@0000098f 111101111111_1001
@00000990 111111111000_0000
@00000991 000000001000_0000
@00000992 111111000101_0110
@00000993 000110010100_1010
@00000994 001010001001_1011
@00000995 111111111000_0000
@00000996 111011111001_1110
@00000997 000001001000_0011
@00000998 001101010010_0110
@00000999 000000001000_0000
@0000099a 000000110101_1101
@0000099b 111101110001_0000
@0000099c 111111111000_0000
@0000099d 001110100100_1000
@0000099e 000000001000_0000
@0000099f 111000101110_0100
@000009a0 110110111110_1101
@000009a1 111111100010_0001
@000009a2 001010111110_1010
@000009a3 111100101110_1110
@000009a4 111110100101_1011
@000009a5 001001010111_1001
@000009a6 111101110010_1100
@000009a7 111000111001_0001
@000009a8 111111001001_0101
@000009a9 000000000010_0101
@000009aa 111111111000_0000
@000009ab 111111111000_0000
@000009ac 111111111000_0000
@000009ad 000101010011_1100
@000009ae 111100000101_0001
@000009af 000001100011_1111
@000009b0 000000001000_0000
@000009b1 111111111101_1101
@000009b2 111111111000_0000
@000009b3 000001100110_1101
@000009b4 111111101110_0100
@000009b5 111011101101_1001
@000009b6 000001000010_0010
@000009b7 111011110100_0101
@000009b8 111110100001_1000
@000009b9 000011100100_1111
@000009ba 000000001000_0000
@000009bb 000000001000_0000
@000009bc 000111101101_1110
@000009bd 111111111111_0010
@000009be 010101001010_0000
@000009bf 000000001000_0000
@000009c0 111111000011_0111
@000009c1 000111011000_0001
@000009c2 000000000000_0010
@000009c3 000001111010_0111
@000009c4 111111111000_0000
@000009c5 111111111000_0000
@000009c6 111111111000_0000
@000009c7 110011001001_0100
@000009c8 000000001000_0000
@000009c9 000000111011_1011
@000009ca 111010011101_0111
@000009cb 000100110110_0100
@000009cc 111110000101_0010
@000009cd 000100001011_0000
@000009ce 111111001000_1011
@000009cf 001100001101_0100
@000009d0 111111111000_0000
@000009d1 001111011110_1000
@000009d2 000110111001_1100
@000009d3 111110110100_0001
@000009d4 111111111000_0000
@000009d5 000000100010_0110
@000009d6 110110100100_0111
@000009d7 111111111110_1110
@000009d8 000000001000_0000
@000009d9 111111111000_0000
@000009da 000001001110_0011
@000009db 111111111111_1001
@000009dc 001100010110_1101
@000009dd 111101011101_0000
@000009de 111111011000_1111
@000009df 111100000111_1100
@000009e0 101011001011_0110
@000009e1 000000001000_0000
@000009e2 111110111010_1101
@000009e3 000001000100_0001
@000009e4 110001100100_0001
@000009e5 111001111001_1000
@000009e6 111110111000_0101
@000009e7 111010010110_0001
@000009e8 111111111000_0000
@000009e9 111111111000_0000
@000009ea 111100100011_1010
@000009eb 000100001000_1011
@000009ec 000001001111_0001
@000009ed 000000001000_0000
@000009ee 111111111000_0000
@000009ef 111111111000_0000
@000009f0 000000001000_0000
@000009f1 110110010000_1011
@000009f2 111111111000_0000
@000009f3 110101100010_0010
@000009f4 111111111101_0001
@000009f5 001101000000_0001
@000009f6 000000001000_0000
@000009f7 111111111100_0010
@000009f8 101010000100_1011
@000009f9 110010111000_1110
@000009fa 111000001111_0101
@000009fb 111110011111_1010
@000009fc 111111111010_0000
@000009fd 111111000101_1111
@000009fe 000000001000_0000
@000009ff 110100110010_1111
@00000a00 111110011011_0010
@00000a01 000000110100_0111
@00000a02 000100100110_0010
@00000a03 111010010000_1010
@00000a04 111111111000_0000
@00000a05 001010000100_1110
@00000a06 001011101000_0111
@00000a07 110111001001_0000
@00000a08 001011100010_0011
@00000a09 111111111000_0000
@00000a0a 000001010000_0001
@00000a0b 000000001000_0000
@00000a0c 000010100000_0110
@00000a0d 111111111000_0000
@00000a0e 101111111001_0100
@00000a0f 110111100101_1010
@00000a10 000000001000_0000
@00000a11 000010111010_0111
@00000a12 000010101110_1101
@00000a13 000000001000_0000
@00000a14 111111111000_0000
@00000a15 111111111000_0000
@00000a16 111101110010_0100
@00000a17 111111010100_1011
@00000a18 000000001000_0000
@00000a19 111111111111_0111
@00000a1a 110111110000_1011
@00000a1b 001110000010_1001
@00000a1c 000101000101_0111
@00000a1d 000000001000_0000
@00000a1e 000001011011_1101
@00000a1f 111101111000_0010
@00000a20 111110010100_1111
@00000a21 001011110010_1100
@00000a22 111001101011_0110
@00000a23 111111111000_0000
@00000a24 001111101000_0001
@00000a25 111111111000_0000
@00000a26 111111111000_0000
@00000a27 111111011000_0010
@00000a28 111110110001_0010
@00000a29 111100110100_0110
@00000a2a 111111111110_1100
@00000a2b 111010001010_1100
@00000a2c 000111010111_0011
@00000a2d 000000010110_1110
@00000a2e 000010111010_0001
@00000a2f 001000110011_0111
@00000a30 111000100010_1000
@00000a31 000000001000_0000
@00000a32 111111111000_0000
@00000a33 000000001000_0000
@00000a34 000000001000_0000
@00000a35 000101100011_0001
@00000a36 000000010001_0110
@00000a37 111111111000_0000
@00000a38 000000001000_0000
@00000a39 111101011001_0011
@00000a3a 000001100010_0010
@00000a3b 000101110010_1111
@00000a3c 001101001010_0100
@00000a3d 111111111000_0000
@00000a3e 000100010010_0101
@00000a3f 000000001000_0000
@00000a40 111101110111_0000
@00000a41 000001110000_0010
@00000a42 000000001000_0000
@00000a43 111110101000_1100
@00000a44 111000110010_1110
@00000a45 000000000000_1011
@00000a46 111110001001_0011
@00000a47 000000001000_0000
@00000a48 000000001000_0000
@00000a49 000011010101_1010
@00000a4a 111111111000_0000
@00000a4b 000000001000_0000
@00000a4c 101001011111_1000
@00000a4d 000111111110_0010
@00000a4e 000000101001_1000
@00000a4f 000010001101_0101
@00000a50 101111101000_0010
@00000a51 110101111011_1110
@00000a52 001000111010_0001
@00000a53 001001111100_0001
@00000a54 000000100110_0100
@00000a55 111011000000_1011
@00000a56 111111111101_1001
@00000a57 110110100110_0101
@00000a58 111101101111_1100
@00000a59 111111111000_0000
@00000a5a 111111111000_0000
@00000a5b 110101100110_0010
@00000a5c 000000001000_0000
@00000a5d 110111111100_1101
@00000a5e 110010111000_0101
@00000a5f 111111111000_0000
@00000a60 000000000001_0010
@00000a61 111111111000_0000
@00000a62 000000001000_0000
@00000a63 111011001100_0101
@00000a64 000000000101_1000
@00000a65 000000000110_1111
@00000a66 111001000000_0101
@00000a67 010100101010_0100
@00000a68 000000001000_0000
@00000a69 111000100101_1011
@00000a6a 111111111000_0000
@00000a6b 001101111110_1100
@00000a6c 000101001011_0111
@00000a6d 111101101100_0111
@00000a6e 010000101000_0011
@00000a6f 000000001000_0000
@00000a70 111010100110_1000
@00000a71 111011000100_1010
@00000a72 010000001011_1001
@00000a73 111101111011_0011
@00000a74 010001000000_0101
@00000a75 111111111011_0100
@00000a76 111111111000_0000
@00000a77 111010010101_0010
@00000a78 000110000111_0111
@00000a79 111111111001_0110
@00000a7a 000111011110_0101
@00000a7b 000101110010_0001
@00000a7c 110110000001_0010
@00000a7d 111010010101_0011
@00000a7e 110101001001_1111
@00000a7f 110110000000_0001
@00000a80 000000001000_0000
@00000a81 110110011101_0100
@00000a82 111100001010_1001
@00000a83 000000001000_0000
@00000a84 111111111000_0000
@00000a85 111111000001_1010
@00000a86 000101011001_0011
@00000a87 001010100001_0110
@00000a88 000001101011_1111
@00000a89 000000110000_0011
@00000a8a 000010100100_0001
@00000a8b 000000001000_0000
@00000a8c 111111111000_0000
@00000a8d 000000100111_1110
@00000a8e 000011011011_1000
@00000a8f 110110010101_1010
@00000a90 010100000000_1111
@00000a91 000000000100_0000
@00000a92 111111111000_0000
@00000a93 000000001000_0000
@00000a94 110110100111_1111
@00000a95 001001011100_1000
@00000a96 101000101110_1111
@00000a97 111000010110_0110
@00000a98 111111111000_0000
@00000a99 000100101100_0100
@00000a9a 001011100000_0000
@00000a9b 000001010100_1000
@00000a9c 111111100100_1001
@00000a9d 000010001110_1101
@00000a9e 110101100110_0100
@00000a9f 111111111000_0000
@00000aa0 001011111101_0110
@00000aa1 110111001111_1000
@00000aa2 000000001000_0000
@00000aa3 111111100001_0000
@00000aa4 111000001111_0011
@00000aa5 001010010100_1110
@00000aa6 111101010001_0011
@00000aa7 000000001000_0000
@00000aa8 111111011011_1000
@00000aa9 000001100101_1010
@00000aaa 010000010010_1100
@00000aab 000000001000_0000
@00000aac 000000001000_0000
@00000aad 101101100011_0001
@00000aae 000000101011_0000
@00000aaf 000101111001_0000
@00000ab0 000000000011_0010
@00000ab1 111111111101_1011
@00000ab2 000000001000_0000
@00000ab3 000001001001_0001
@00000ab4 111111000000_0110
@00000ab5 000000001110_0010
@00000ab6 111111111000_0000
@00000ab7 111100011000_1110
@00000ab8 110000100110_0000
@00000ab9 000010000110_0110
@00000aba 111101011110_0011
@00000abb 111010011000_0100
@00000abc 000001010100_1011
@00000abd 001000101010_0010
@00000abe 101100101011_0100
@00000abf 000101000000_1001
@00000ac0 111001110010_1101
@00000ac1 111111111000_0000
@00000ac2 111111111000_0000
@00000ac3 000001101000_1100
@00000ac4 111111111000_0000
@00000ac5 111111110100_1101
@00000ac6 000000001000_0000
@00000ac7 110011100110_1000
@00000ac8 111101111011_0100
@00000ac9 110101100010_0111
@00000aca 111111001111_0010
@00000acb 000000001000_0000
@00000acc 000101101010_0000
@00000acd 101111010100_0000
@00000ace 101101101011_1010
@00000acf 000000001000_0000
@00000ad0 000000001000_0000
@00000ad1 000100110010_1000
@00000ad2 101011111010_1000
@00000ad3 010110000111_1001
@00000ad4 000111000100_1010
@00000ad5 000101000111_1100
@00000ad6 000000001000_0000
@00000ad7 000001011101_1001
@00000ad8 111100111000_1100
@00000ad9 000111111110_0011
@00000ada 000000001000_0000
@00000adb 110110000101_0100
@00000adc 111110110100_1111
@00000add 000000010011_1011
@00000ade 111111110111_1111
@00000adf 111100110101_1100
@00000ae0 111100001111_0010
@00000ae1 010010100100_1101
@00000ae2 111011100000_0000
@00000ae3 111111101001_0100
@00000ae4 111111111000_0000
@00000ae5 000001000101_0000
@00000ae6 000001001011_0110
@00000ae7 111111111000_0000
@00000ae8 000000100011_1011
@00000ae9 111001011000_1011
@00000aea 111111111110_0001
@00000aeb 111010101111_0000
@00000aec 110101110111_0100
@00000aed 111101001000_0010
@00000aee 111100011000_0011
@00000aef 001000001001_1010
@00000af0 000011100100_0110
@00000af1 111111111111_0110
@00000af2 001001010001_0111
@00000af3 111111111110_0000
@00000af4 001111001011_1011
@00000af5 000010111111_0111
@00000af6 000000110100_0010
@00000af7 000000000000_1110
@00000af8 111111111000_0000
@00000af9 000000001000_0000
@00000afa 111100110101_1000
@00000afb 111111111000_0000
@00000afc 000000001000_0000
@00000afd 111101001000_0111
@00000afe 111111111000_0000
@00000aff 000000000011_0001
@00000b00 000000001000_0000
@00000b01 000001110000_0101
@00000b02 000000001000_0000
@00000b03 111100101110_1101
@00000b04 111111111000_0000
@00000b05 000000001000_0000
@00000b06 111111111000_0000
@00000b07 001100101110_0110
@00000b08 001111001010_0010
@00000b09 000001101101_1101
@00000b0a 111110100010_0000
@00000b0b 111111111000_0000
@00000b0c 000000001000_0000
@00000b0d 111011111011_0100
@00000b0e 111111111000_0000
@00000b0f 110110110000_1011
@00000b10 100111110110_0001
@00000b11 111111111000_0000
@00000b12 000000001000_0000
@00000b13 111010100000_1001
@00000b14 110101011001_1001
@00000b15 111111111000_0000
@00000b16 000100000110_1111
@00000b17 000011101110_0011
@00000b18 000100101000_0000
@00000b19 000000000001_0010
@00000b1a 000000001000_0000
@00000b1b 000000001000_0000
@00000b1c 111111111000_0000
@00000b1d 111001110000_1010
@00000b1e 001000010101_1000
@00000b1f 000011101101_0100
@00000b20 111111101111_0100
@00000b21 010110101011_0011
@00000b22 001011000001_0111
@00000b23 000000001000_0000
@00000b24 000111001111_1000
@00000b25 111100111101_1011
@00000b26 110111011011_1000
@00000b27 111100110101_1111
@00000b28 000000001000_0000
@00000b29 000010111010_1001
@00000b2a 111100110000_0100
@00000b2b 110110101100_1011
@00000b2c 000011000000_1010
@00000b2d 101111010001_0111
@00000b2e 111101110011_0000
@00000b2f 111110101101_1111
@00000b30 111001001111_1111
@00000b31 111110011000_1010
@00000b32 111101101101_0010
@00000b33 000110011101_1100
@00000b34 000000100111_0010
@00000b35 110101101010_0101
@00000b36 111101101101_0000
@00000b37 000000001000_0000
@00000b38 000000001000_0000
@00000b39 111111111000_0000
@00000b3a 111010010101_1001
@00000b3b 000111011001_1000
@00000b3c 000111011111_0000
@00000b3d 000100100111_0010
@00000b3e 001001111000_1101
@00000b3f 010001101011_1101
@00000b40 111111000000_1001
@00000b41 000111001000_1101
@00000b42 010011100100_1001
@00000b43 111111100110_0001
@00000b44 110000100111_1001
@00000b45 111111111000_0000
@00000b46 110010111010_0101
@00000b47 000001001100_1110
@00000b48 111111111000_0000
@00000b49 110100110010_1111
@00000b4a 111111111000_0000
@00000b4b 111111100100_0100
@00000b4c 110100001101_1111
@00000b4d 101100110010_1101
@00000b4e 000001111001_1110
@00000b4f 111101111100_0110
@00000b50 000010011001_1101
@00000b51 000000001000_0000
@00000b52 111100000100_1001
@00000b53 010101001111_0000
@00000b54 111111101001_0111
@00000b55 000000001000_1000
@00000b56 111100001000_1000
@00000b57 111111111000_0000
@00000b58 111001110110_0000
@00000b59 000101011111_0111
@00000b5a 110100010100_1011
@00000b5b 111110011111_1001
@00000b5c 000000001000_0000
@00000b5d 000000001000_0000
@00000b5e 111110010001_1111
@00000b5f 001010100101_0111
@00000b60 000000001000_0000
@00000b61 110100010111_1001
@00000b62 000000001000_0000
@00000b63 111010110011_0101
@00000b64 000010100010_1101
@00000b65 101101111111_1111
@00000b66 000000000110_1001
@00000b67 000000001000_1000
@00000b68 110001110110_0000
@00000b69 110001000001_1011
@00000b6a 001000000010_0100
@00000b6b 000000011010_0111
@00000b6c 111111001111_1111
@00000b6d 001001100111_0100
@00000b6e 111011100101_0111
@00000b6f 101101111010_1111
@00000b70 000000001000_0000
@00000b71 000100111101_1100
@00000b72 001000000000_1100
@00000b73 110000100110_1111
@00000b74 111111111000_0000
@00000b75 000000001000_0000
@00000b76 111111111000_0000
@00000b77 000111000010_1100
@00000b78 000000001000_0000
@00000b79 111111111000_0000
@00000b7a 000000001000_0000
@00000b7b 111111111000_0000
@00000b7c 110110100110_0011
@00000b7d 111111111000_0000
@00000b7e 111010110010_0110
@00000b7f 001101011001_1010
@00000b80 000010000010_1101
@00000b81 111011110101_1001
@00000b82 000000001000_0000
@00000b83 000010010100_0101
@00000b84 111001010001_1011
@00000b85 111111100000_0000
@00000b86 000000001000_0000
@00000b87 110000111000_0001
@00000b88 111011100110_1100
@00000b89 000000001000_0000
@00000b8a 010010000111_1010
@00000b8b 110110100011_1001
@00000b8c 001010001110_1010
@00000b8d 000000001000_0000
@00000b8e 101110001001_0000
@00000b8f 111111111000_0000
@00000b90 000000001000_0000
@00000b91 000010110101_0001
@00000b92 111110000101_0100
@00000b93 001001100000_0000
@00000b94 110101101001_1111
@00000b95 000110001110_1101
@00000b96 111111111000_0000
@00000b97 001001101000_1111
@00000b98 110111111010_0001
@00000b99 001101110000_0011
@00000b9a 000001011111_0101
@00000b9b 000000001000_0000
@00000b9c 000011010000_0010
@00000b9d 000000001000_0000
@00000b9e 000000001000_0000
@00000b9f 111111111001_0000
@00000ba0 000001111100_0110
@00000ba1 101100000100_1011
@00000ba2 110111011110_1011
@00000ba3 000100000010_1110
@00000ba4 000110100010_0110
@00000ba5 000000001000_0000
@00000ba6 000000001110_1110
@00000ba7 111110110100_0010
@00000ba8 000000001011_0110
@00000ba9 000001000101_0011
@00000baa 000000000001_0100
@00000bab 001010010100_1010
@00000bac 111011011110_0001
@00000bad 111010101100_1111
@00000bae 010010000111_1010
@00000baf 111111001000_0101
@00000bb0 000000001000_0000
@00000bb1 111111111000_0000
@00000bb2 111011010110_1100
@00000bb3 000100000011_1000
@00000bb4 111111111000_0000
@00000bb5 111000111010_1111
@00000bb6 111110100000_0000
@00000bb7 110111000101_1011
@00000bb8 000101101010_0100
@00000bb9 111111111000_0000
@00000bba 110111100001_1011
@00000bbb 111111001111_0011
@00000bbc 000000001000_0000
@00000bbd 010010100110_0011
@00000bbe 000000001000_0000
@00000bbf 111111111000_0000
@00000bc0 000000001000_0000
@00000bc1 111011110001_1100
@00000bc2 111010110100_0101
@00000bc3 111111111000_0000
@00000bc4 111010110000_0000
@00000bc5 001010110110_0110
@00000bc6 010000100010_0001
@00000bc7 111111111010_0010
@00000bc8 000000001000_0000
@00000bc9 110011100001_0100
@00000bca 111010010111_0001
@00000bcb 001000011001_1111
@00000bcc 000000001000_0000
@00000bcd 001110011011_1101
@00000bce 000000001000_0000
@00000bcf 000000001011_0111
@00000bd0 111111111100_1111
@00000bd1 111111111000_0000
@00000bd2 010011110011_0011
@00000bd3 111110110101_1101
@00000bd4 000000110000_1111
@00000bd5 000000001000_0000
@00000bd6 000000010011_0110
@00000bd7 000000001000_0000
@00000bd8 000000001000_0000
@00000bd9 111111111000_0000
@00000bda 110100111100_1000
@00000bdb 111110110011_0101
